Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S080453 44.3583 -29.9114 5.431e-21 9.314e-21 2.038e-20 0.0 38.86 0.0
S080454 44.3519 -29.8803 1.224e-18 1.222e-18 8.998e-19 0.0 38.74 0.0
S080455 44.3102 -29.8818 1.392e-20 1.987e-20 3.068e-20 0.0 40.28 0.0
S080457 44.2972 -29.8292 2.796e-18 5.257e-18 1.365e-17 0.0 40.0 0.0
S080458 44.358 -29.8274 3.652e-18 6.494e-18 1.611e-17 0.0 37.57 0.0
S080459 44.3017 -29.8249 9.361e-21 1.415e-20 2.363e-20 0.0 40.28 0.0
S080460 44.295 -29.8006 5.835e-18 1.144e-17 3.372e-17 0.0 39.46 0.0
S080461 44.2773 -29.8617 2.681e-18 2.422e-18 1.437e-18 0.0 40.74 0.0
S080462 44.3691 -29.8767 2.395e-21 4.142e-21 9.040e-21 0.0 38.22 0.0
S080463 44.3172 -29.8306 1.330e-20 1.855e-20 2.711e-20 0.0 39.4 0.0
S080464 44.3264 -29.8827 7.636e-22 1.374e-21 3.418e-21 0.0 40.06 0.0
S080465 44.3404 -29.8034 4.504e-21 6.878e-21 1.203e-20 0.0 37.19 0.0
S080466 44.3532 -29.8906 1.168e-17 3.410e-17 2.364e-16 0.0 38.89 1.0
S080468 44.3133 -29.858 9.157e-19 9.222e-19 6.860e-19 0.0 39.53 0.0
S080469 44.2937 -29.8647 2.850e-17 2.242e-17 1.003e-17 0.0 40.31 0.0
S080470 44.3397 -29.9061 9.105e-19 9.034e-19 6.413e-19 0.0 40.54 0.0
S080471 44.282 -29.8954 5.967e-18 5.162e-18 2.673e-18 0.0 40.92 0.0
S080472 44.4027 -29.9407 2.877e-18 4.949e-18 1.098e-17 0.0 37.95 0.0
S080473 44.3345 -29.8745 2.416e-17 5.634e-17 2.430e-16 0.0 39.17 1.0
S080475 44.347 -29.8177 7.075e-19 7.134e-19 5.368e-19 0.0 37.42 0.0
S080476 44.2994 -29.7887 2.509e-18 2.245e-18 1.307e-18 0.0 39.23 0.0
S080477 44.2709 -29.8687 3.090e-17 2.422e-17 1.069e-17 0.0 40.87 1.0
S080478 44.4324 -29.9195 1.584e-17 3.587e-17 1.332e-16 0.0 37.83 1.0
S080479 44.302 -29.8503 4.030e-22 7.971e-22 2.292e-21 0.0 39.87 0.0
S080480 44.275 -29.924 1.202e-20 1.694e-20 2.477e-20 0.0 41.07 0.0
S080481 44.2742 -29.8199 4.672e-18 6.685e-18 1.009e-17 0.0 40.81 0.0
S080482 44.4231 -29.888 2.077e-18 3.740e-18 9.324e-18 0.0 37.02 0.0
S080484 44.2312 -29.8224 7.456e-18 6.297e-18 3.164e-18 0.0 41.04 0.0
S080485 44.4195 -29.8985 5.729e-20 7.034e-20 7.921e-20 0.0 37.58 0.0
S080486 44.334 -29.8362 6.917e-19 6.634e-19 4.312e-19 0.0 38.76 0.0
S080487 44.3468 -29.8665 3.238e-22 6.133e-22 1.641e-21 0.0 38.44 0.0
S080489 44.2687 -29.7958 3.950e-18 3.537e-18 2.102e-18 0.0 40.92 0.0
S080490 44.1767 -29.8246 1.014e-21 1.883e-21 5.085e-21 0.0 41.12 0.0
S080492 44.4063 -29.8941 1.683e-19 1.947e-19 1.806e-19 0.0 37.14 0.0
S080493 44.3251 -29.8605 1.022e-18 2.047e-18 6.149e-18 0.0 39.39 0.0
S080494 44.3908 -29.8224 2.892e-18 2.633e-18 1.563e-18 0.0 36.91 0.0
S080495 44.3288 -29.855 1.293e-21 2.214e-21 4.766e-21 0.0 39.43 0.0
S080496 44.3585 -29.8666 3.497e-18 4.526e-18 5.653e-18 0.0 38.61 0.0
S080497 44.3173 -29.7704 4.596e-18 7.871e-18 1.747e-17 0.0 38.18 1.0
S080498 44.378 -29.8773 1.276e-18 2.279e-18 5.534e-18 0.0 37.72 0.0
S080499 44.3324 -29.8702 4.082e-19 4.482e-19 3.800e-19 0.0 39.61 0.0
S080500 44.2909 -29.8069 4.684e-22 8.780e-22 2.291e-21 0.0 40.19 0.0
S080502 44.4022 -29.8626 3.222e-20 4.370e-20 5.661e-20 0.0 37.12 0.0
S080503 44.3816 -29.8379 1.627e-19 1.830e-19 1.623e-19 0.0 37.24 0.0
S080505 44.4118 -29.8642 5.858e-21 8.581e-21 1.348e-20 0.0 37.74 0.0
S080506 44.381 -29.8787 3.470e-18 8.251e-18 3.512e-17 0.0 37.78 0.0
S080507 44.3489 -29.8854 4.595e-18 3.801e-18 1.816e-18 0.0 38.96 0.0
S080508 44.3103 -29.8847 3.498e-18 6.126e-18 1.405e-17 0.0 39.7 0.0
S080509 44.3383 -29.8046 3.084e-18 6.873e-18 2.698e-17 0.0 38.17 0.0
S080510 44.3388 -29.8435 3.259e-19 3.716e-19 3.566e-19 0.0 38.78 0.0
S080511 44.3567 -29.8973 4.999e-19 4.916e-19 3.534e-19 0.0 38.73 0.0
S080512 44.3398 -29.8559 4.307e-19 4.758e-19 4.034e-19 0.0 38.85 0.0
S080514 44.4003 -29.8993 4.250e-22 8.248e-22 2.313e-21 0.0 37.49 0.0
S080518 44.307 -29.8944 1.302e-17 2.770e-17 9.284e-17 0.0 40.03 1.0
